Architecture,Dataset,Data_Fraction,Precision,Recall,mAP_50,mAP_50_95,Inference_Time_ms,FPS
YOLO26s,IR,0.25,0.779,0.5995,0.6675,0.3413,2.14,467.39
YOLO26s,IR,0.50,0.8431,0.7899,0.8671,0.5001,2.2,455.4
YOLO26s,IR,1.00,0.897,0.9011,0.9454,0.6043,2.11,473.99
RT-DETR-l,IR,0.25,0.0789,0.56,0.0869,0.039,9.07,110.28
RT-DETR-l,IR,0.50,0.2888,0.5853,0.3948,0.2341,9.25,108.08
RT-DETR-l,IR,1.00,0.7975,0.8322,0.8446,0.5027,8.91,112.21
YOLO26s,RGB,0.25,0.5911,0.3739,0.3908,0.212,1.67,598.56
YOLO26s,RGB,0.50,0.6292,0.4243,0.4462,0.2442,1.55,644.86
YOLO26s,RGB,1.00,0.6417,0.4294,0.4519,0.2498,1.64,610.16
RT-DETR-l,RGB,0.25,0.4559,0.3496,0.3173,0.1744,9.62,103.98
RT-DETR-l,RGB,0.50,0.5699,0.4371,0.4368,0.244,9.57,104.45
RT-DETR-l,RGB,1.00,0.6329,0.4654,0.4763,0.2665,9.54,104.87
